IE_XML_ID;IE_NAME;IP_PROP455;IP_PROP456;IP_PROP457
47739;Зал заседаний Московской городской Думы ;1;04.01.2017;Интерьер
47742;Офис компании 1С ;2;05.01.2017;Интерьер
47747;"ТВ-проект. &quot;Школа Ремонта&quot;. Музыкальный салон мадам Ларкиной ";3;05.01.2017;Интерьер
47752;"ТВ проект. &quot;Чистая работа&quot; ";4;06.01.2017;Интерьер
47757;"Лобби гостиницы &quot;Бородино&quot;, Москва ";5;07.01.2017;Интерьер
47762;"ТВ проект. &quot;Квартирный вопрос&quot; ";6;07.01.2017;Интерьер
47767;"Ресепшен бизнес-центра &quot;Crosswall&quot;, Москва ";7;12.01.2017;Интерьер
47770;Гостиная в частном доме ;8;12.01.2017;Интерьер
47772;"Переговорная бизнес-центра &quot;Crosswall&quot;, Москва ";9;12.01.2017;Интерьер
47774;Спальня с кессонами.  Квартира на Покровке ;10;12.01.2017;Интерьер
47777;"ТВ-проект. &quot;Школа Ремонта&quot;. Классическая фантастика ";12;12.01.2017;Интерьер
47780;"ТВ-проект. &quot;Фазенда&quot;. Гжель ";13;12.01.2017;Интерьер
47786;Столовая в частном доме, Горки 1 ;14;12.01.2017;Интерьер
47789;"ТВ-проект. &quot;Школа Ремонта&quot;. Нежно-брутальное шале ";15;12.01.2017;Интерьер
47791;Гостиная в квартире на Чистых прудах ;16;12.01.2017;Интерьер
47795;"ТВ-проект. &quot;Школа Ремонта&quot;. ";17;12.01.2017;Интерьер
47801;"ТВ-проект. &quot;Фазенда&quot;. ";18;13.01.2017;Интерьер
47803;Фрагмент интерьера с использованием арочного обрамления ;19;13.01.2017;Интерьер
47809;Отель «Сочи Марриотт Красная Поляна», Сочи ;20;13.01.2017;Интерьер
47811;Фрагмент интерьера с использованием кронштейна ;21;13.01.2017;Интерьер
47816;Фрагмент интерьера с использованием ниши ;22;13.01.2017;Интерьер
47822;"Интерьер ресторана &quot;Флеш-Рояль&quot; ";23;13.01.2017;Интерьер
47829;Кабинет в частном доме, Крекшино ;24;13.01.2017;Интерьер
47835;"ТВ-проект. &quot;Школа ремонта&quot;. Золотые джунгли ";25;13.01.2017;Интерьер
47839;"ТВ-проект. &quot;Фазенда&quot;. Дачный кабинет ";26;13.01.2017;Интерьер
47842;"ТВ-проект. &quot;Школа ремонта&quot;. ";27;13.01.2017;Интерьер
